Date/Time,Location,Temperature (°C),Humidity (%),Rainfall (mm)
2000-01-07,Chennai,16.55,62.18,1.92
2000-01-07,Bangalore,20.18,65.44,1.56
2000-01-07,Hyderabad,13.97,59.25,0.22
2000-01-07,Kolkata,15.44,40.31,2.63
2000-01-07,Jaipur,15.71,56.63,0.87
2000-01-08,Pune,15.68,82.68,2.46
2000-01-08,Mumbai,19.11,69.42,0.63
2000-01-08,Delhi,16.98,77.82,1.17
2000-01-08,Chennai,17.41,73.83,8.4
2000-01-08,Bangalore,14.9,74.08,1.77
2000-01-08,Hyderabad,17.6,53.39,1.69
2000-01-08,Kolkata,12.3,32.84,0.75
2000-01-08,Jaipur,12.82,52.15,2.3
2000-01-09,Pune,11.85,51.77,5.72
2000-01-09,Mumbai,18.13,44.48,7.13
2000-01-09,Delhi,16.98,34.41,3.57
2000-01-09,Chennai,18.03,40.71,0.52
2000-01-09,Bangalore,15.73,56.6,6.2
2000-01-09,Hyderabad,24.38,61.24,2.77
2000-01-09,Kolkata,13.66,47.59,0.56
2000-01-09,Jaipur,17.21,46.14,2.35
2000-01-10,Pune,20.08,53.07,0.32
2000-01-10,Mumbai,17.09,89.41,3.77
2000-01-10,Delhi,17.14,83.84,4.19
2000-01-10,Chennai,18.03,44.45,0.87
2000-01-10,Bangalore,28.24,46.2,3.42
2000-01-10,Hyderabad,8.44,45.65,6.64
2000-01-10,Kolkata,28.18,56.8,2.29
2000-01-10,Jaipur,21.18,80.51,7.69
2000-01-11,Pune,18.61,80.76,1.31
2000-01-11,Mumbai,17.6,61.44,1.47
2000-01-11,Delhi,13.4,89.33,4.04
2000-01-11,Chennai,22.81,62.2,0.66
2000-01-11,Bangalore,25.7,84.07,4.3
2000-01-11,Hyderabad,22.97,65.89,0.51
2000-01-11,Kolkata,19.51,62.11,2.75
2000-01-11,Jaipur,13.44,27.61,3.25
2000-01-12,Pune,13.39,41.08,1.36
2000-01-12,Mumbai,15.88,48.47,6.48
2000-01-12,Delhi,19.04,45.57,3.11
2000-01-12,Chennai,19.57,76.66,3.0
2000-01-12,Bangalore,18.9,47.07,3.4
2000-01-12,Hyderabad,11.45,61.72,0.45
2000-01-12,Kolkata,29.1,63.37,4.57
2000-01-12,Jaipur,16.28,59.23,3.08
2000-01-13,Pune,13.55,52.99,0.03
2000-01-13,Mumbai,24.11,70.34,6.09
2000-01-13,Delhi,14.85,33.03,0.88
2000-01-13,Chennai,19.88,59.82,0.69
2000-01-13,Bangalore,12.71,73.55,0.31
2000-01-13,Hyderabad,13.35,59.04,2.61
2000-01-13,Kolkata,24.38,65.71,2.1
2000-01-13,Jaipur,15.92,42.75,6.85
2000-01-14,Pune,13.98,40.88,2.07
2000-01-14,Mumbai,15.47,89.37,0.65
2000-01-14,Delhi,21.31,44.02,1.38
2000-01-14,Chennai,13.81,61.57,5.6
2000-01-14,Bangalore,17.16,26.84,8.13
2000-01-14,Hyderabad,19.98,74.73,3.07
2000-01-14,Kolkata,19.85,62.64,0.38
2000-01-14,Jaipur,10.05,24.38,3.37
2000-01-15,Pune,18.63,41.53,4.44
2000-01-15,Mumbai,18.42,61.39,3.12
2000-01-15,Delhi,29.55,51.88,6.44
2000-01-15,Chennai,19.15,71.93,0.9
2000-01-15,Bangalore,17.58,60.17,2.69
2000-01-15,Hyderabad,20.23,53.41,5.14
2000-01-15,Kolkata,21.76,23.66,0.74
2000-01-15,Jaipur,21.48,62.61,5.09
2000-01-16,Pune,21.52,62.12,4.5
2000-01-16,Mumbai,9.83,75.15,1.9
2000-01-16,Delhi,18.18,43.38,1.73
2000-01-16,Chennai,22.11,60.3,5.91
2000-01-16,Bangalore,10.09,51.88,0.57
2000-01-16,Hyderabad,16.87,27.98,3.84
2000-01-16,Kolkata,22.88,60.85,1.94
2000-01-16,Jaipur,15.81,43.55,4.78
2000-01-17,Pune,19.14,65.06,2.64
2000-01-17,Mumbai,21.56,38.91,3.19
2000-01-17,Delhi,25.81,50.67,3.52
2000-01-17,Chennai,20.47,42.38,4.03
2000-01-17,Bangalore,19.87,70.79,3.4
2000-01-17,Hyderabad,16.77,44.18,1.56
2000-01-17,Kolkata,20.49,32.24,0.32
2000-01-17,Jaipur,21.58,39.52,1.8
2000-01-18,Pune,11.29,69.36,3.74
2000-01-18,Mumbai,19.83,57.45,9.16
2000-01-18,Delhi,25.47,49.63,3.71
2000-01-18,Chennai,24.64,34.27,2.69
2000-01-18,Bangalore,20.57,64.78,1.71
2000-01-18,Hyderabad,26.06,52.7,5.55
2000-01-18,Kolkata,7.06,86.65,1.92
2000-01-18,Jaipur,18.47,69.7,0.97
2000-01-19,Pune,24.46,45.38,6.05
2000-01-19,Mumbai,19.23,83.35,1.05
2000-01-19,Delhi,14.6,36.25,2.63
2000-01-19,Chennai,21.2,75.19,1.2
2000-01-19,Bangalore,24.3,64.44,2.66
2000-01-19,Hyderabad,13.97,72.24,4.64
2000-01-19,Kolkata,19.2,54.53,1.05
2000-01-19,Jaipur,17.04,60.77,3.26
2000-01-20,Pune,17.35,49.87,4.51
2000-01-20,Mumbai,12.58,61.36,4.83
2000-01-20,Delhi,13.32,86.45,5.59
2000-01-20,Chennai,16.74,38.69,4.03
2000-01-20,Bangalore,22.04,50.46,0.57
2000-01-20,Hyderabad,20.45,52.01,2.94
2000-01-20,Kolkata,15.1,67.5,4.05
2000-01-20,Jaipur,21.23,13.97,3.26
2000-01-21,Pune,16.6,65.02,0.82
2000-01-21,Mumbai,14.62,61.99,2.89
2000-01-21,Delhi,18.38,45.26,5.29
2000-01-21,Chennai,17.38,65.84,1.67
2000-01-21,Bangalore,13.0,41.18,7.26
2000-01-21,Hyderabad,22.47,59.95,1.5
2000-01-21,Kolkata,9.16,69.23,1.74
2000-01-21,Jaipur,15.94,58.9,6.93
2000-01-22,Pune,12.49,42.62,2.65
2000-01-22,Mumbai,20.77,53.6,3.77
2000-01-22,Delhi,24.89,58.99,2.86
2000-01-22,Chennai,21.49,49.04,3.68
2000-01-22,Bangalore,16.7,55.0,3.98
2000-01-22,Hyderabad,19.31,61.31,0.89
2000-01-22,Kolkata,21.33,26.74,4.93
2000-01-22,Jaipur,17.57,58.91,2.5
2000-01-23,Pune,23.41,53.36,0.73
2000-01-23,Mumbai,17.33,54.08,1.94
2000-01-23,Delhi,18.28,74.35,3.2
2000-01-23,Chennai,23.8,27.34,0.3
2000-01-23,Bangalore,20.33,45.02,1.47
2000-01-23,Hyderabad,24.3,53.7,3.65
2000-01-23,Kolkata,6.92,60.53,1.57
2000-01-23,Jaipur,15.09,74.12,0.37
2000-01-24,Pune,18.59,51.06,0.35
2000-01-24,Mumbai,16.0,44.67,2.48
2000-01-24,Delhi,19.7,63.86,3.78
2000-01-24,Chennai,17.04,66.26,4.03
2000-01-24,Bangalore,15.1,70.09,0.74
2000-01-24,Hyderabad,19.99,53.99,5.6
2000-01-24,Kolkata,14.87,51.42,4.28
2000-01-24,Jaipur,11.82,26.61,3.84
2000-01-25,Pune,13.07,63.18,0.77
2000-01-25,Mumbai,21.35,35.16,0.97
2000-01-25,Delhi,23.06,87.03,3.78
2000-01-25,Chennai,21.06,45.92,3.09
2000-01-25,Bangalore,9.98,68.11,3.07
2000-01-25,Hyderabad,27.27,58.63,1.16
2000-01-25,Kolkata,10.59,50.15,0.68
2000-01-25,Jaipur,17.41,64.31,1.73
2000-01-26,Pune,30.01,48.36,2.9
2000-01-26,Mumbai,12.62,52.46,3.0
2000-01-26,Delhi,20.67,78.81,1.32
2000-01-26,Chennai,15.4,62.9,3.55
2000-01-26,Bangalore,23.4,47.14,1.44
2000-01-26,Hyderabad,21.14,52.53,0.31
2000-01-26,Kolkata,21.66,30.61,3.73
2000-01-26,Jaipur,10.17,41.39,0.44
2000-01-27,Pune,12.7,55.63,1.35
2000-01-27,Mumbai,19.75,78.57,2.06
2000-01-27,Delhi,18.34,53.27,5.42
2000-01-27,Chennai,21.44,68.39,3.35
2000-01-27,Bangalore,22.76,41.01,0.84
2000-01-27,Hyderabad,23.99,62.74,4.06
2000-01-27,Kolkata,22.37,82.74,0.36
2000-01-27,Jaipur,11.37,41.06,0.49
2000-01-28,Pune,16.13,55.04,0.79
2000-01-28,Mumbai,16.33,62.83,1.93
2000-01-28,Delhi,18.81,33.93,5.01
2000-01-28,Chennai,19.15,64.7,2.73
2000-01-28,Bangalore,10.54,19.66,2.44
2000-01-28,Hyderabad,17.5,40.68,0.44
2000-01-28,Kolkata,16.7,52.53,5.32
2000-01-28,Jaipur,18.28,50.56,2.38
2000-01-29,Pune,22.09,74.78,2.31
2000-01-29,Mumbai,14.84,49.75,7.26
2000-01-29,Delhi,24.29,60.36,2.96
2000-01-29,Chennai,19.86,61.25,2.2
2000-01-29,Bangalore,16.02,52.56,0.38
2000-01-29,Hyderabad,16.92,51.12,3.85
2000-01-29,Kolkata,17.76,47.8,1.6
2000-01-29,Jaipur,22.41,46.4,1.13
2000-01-30,Pune,19.42,43.67,7.33
2000-01-30,Mumbai,21.99,58.93,3.2
2000-01-30,Delhi,11.44,50.65,0.29
2000-01-30,Chennai,16.54,72.85,2.54
2000-01-30,Bangalore,26.39,52.52,4.25
2000-01-30,Hyderabad,14.8,31.83,7.15
2000-01-30,Kolkata,21.83,39.28,0.55
2000-01-30,Jaipur,20.23,38.3,4.18
2000-01-31,Pune,20.42,47.16,1.83
2000-01-31,Mumbai,21.27,70.57,1.24
2000-01-31,Delhi,18.77,68.57,1.45
2000-01-31,Chennai,19.92,89.29,2.98
2000-01-31,Bangalore,14.37,57.53,1.77
2000-01-31,Hyderabad,25.26,55.07,0.78
2000-01-31,Kolkata,14.15,60.46,4.73
2000-01-31,Jaipur,21.01,43.3,0.11
2000-02-01,Pune,14.92,58.51,4.57
2000-02-01,Mumbai,16.98,68.93,0.39
2000-02-01,Delhi,21.99,45.86,3.86
2000-02-01,Chennai,18.35,45.47,0.2
2000-02-01,Bangalore,17.59,27.39,2.11
2000-02-01,Hyderabad,23.73,34.52,3.75
2000-02-01,Kolkata,10.96,78.66,3.46
2000-02-01,Jaipur,17.52,53.63,0.97
2000-02-02,Pune,17.45,67.74,5.07
2000-02-02,Mumbai,17.06,57.23,0.61
2000-02-02,Delhi,16.28,46.54,2.24
2000-02-02,Chennai,21.67,48.88,0.5
2000-02-02,Bangalore,18.22,64.59,0.01
2000-02-02,Hyderabad,15.31,42.57,2.45
2000-02-02,Kolkata,24.49,63.13,8.39
2000-02-02,Jaipur,16.75,62.01,0.02
2000-02-03,Pune,15.62,59.41,5.59
2000-02-03,Mumbai,16.36,75.88,4.78
2000-02-03,Delhi,14.15,9.26,1.49
2000-02-03,Chennai,17.87,30.91,3.36
2000-02-03,Bangalore,21.9,53.82,7.89
2000-02-03,Hyderabad,13.08,68.59,10.05
2000-02-03,Kolkata,19.71,44.01,0.43
2000-02-03,Jaipur,16.82,69.85,3.53
2000-02-04,Pune,12.88,47.08,7.11
2000-02-04,Mumbai,23.94,52.12,1.87
2000-02-04,Delhi,12.34,61.73,0.08
2000-02-04,Chennai,19.29,61.51,1.2
2000-02-04,Bangalore,15.57,49.25,5.19
2000-02-04,Hyderabad,19.55,49.97,2.49
2000-02-04,Kolkata,14.04,62.5,2.82
2000-02-04,Jaipur,12.26,46.08,1.11
2000-02-05,Pune,18.27,78.07,0.2
2000-02-05,Mumbai,22.34,77.94,3.1
2000-02-05,Delhi,14.84,57.84,1.63
2000-02-05,Chennai,10.34,48.52,2.24
2000-02-05,Bangalore,21.01,66.2,1.78
2000-02-05,Hyderabad,11.85,43.91,2.02
2000-02-05,Kolkata,20.76,41.94,0.84
2000-02-05,Jaipur,18.12,43.16,1.8
2000-02-06,Pune,17.03,55.8,8.35
2000-02-06,Mumbai,16.45,37.17,2.38
2000-02-06,Delhi,16.4,58.68,0.65
2000-02-06,Chennai,16.41,58.94,0.81
2000-02-06,Bangalore,21.68,65.95,7.02
2000-02-06,Hyderabad,12.2,35.74,2.02
2000-02-06,Kolkata,18.62,35.25,3.86
2000-02-06,Jaipur,18.68,32.53,3.18
2000-02-07,Pune,13.91,64.89,0.59
2000-02-07,Mumbai,11.62,62.98,8.24
2000-02-07,Delhi,20.01,72.66,2.86
2000-02-07,Chennai,10.99,31.47,4.07
2000-02-07,Bangalore,20.61,35.94,0.77
2000-02-07,Hyderabad,25.48,67.11,1.43
2000-02-07,Kolkata,6.06,70.9,0.72
2000-02-07,Jaipur,16.36,61.76,4.34
2000-02-08,Pune,15.25,66.77,1.54
2000-02-08,Mumbai,21.69,41.2,2.46
2000-02-08,Delhi,20.86,45.59,0.95
2000-02-08,Chennai,25.18,65.95,3.7
2000-02-08,Bangalore,13.79,50.26,2.34
2000-02-08,Hyderabad,19.48,85.88,2.38
2000-02-08,Kolkata,21.36,47.14,5.25
2000-02-08,Jaipur,14.99,70.29,3.34
2000-02-09,Pune,15.22,40.63,3.36
2000-02-09,Mumbai,16.33,50.84,1.56
2000-02-09,Delhi,15.18,49.15,4.17
2000-02-09,Chennai,22.08,49.48,4.38
2000-02-09,Bangalore,20.14,52.15,3.38
2000-02-09,Hyderabad,22.95,51.99,5.04
2000-02-09,Kolkata,14.68,41.76,5.3
2000-02-09,Jaipur,17.25,52.94,4.2
2000-02-10,Pune,26.19,70.74,1.48
2000-02-10,Mumbai,22.2,47.91,2.45
2000-02-10,Delhi,12.83,66.22,5.25
2000-02-10,Chennai,13.21,59.14,2.84
2000-02-10,Bangalore,16.66,70.88,7.36
2000-02-10,Hyderabad,22.61,50.47,2.74
2000-02-10,Kolkata,12.73,41.66,3.47
2000-02-10,Jaipur,18.14,56.96,0.86
2000-02-11,Pune,12.43,59.54,3.14
2000-02-11,Mumbai,16.55,82.32,2.25
2000-02-11,Delhi,18.09,27.86,2.67
2000-02-11,Chennai,18.44,56.24,1.7
2000-02-11,Bangalore,19.78,54.65,1.82
2000-02-11,Hyderabad,18.75,45.69,5.18
2000-02-11,Kolkata,15.81,34.4,2.45
2000-02-11,Jaipur,17.73,30.01,4.58
2000-02-12,Pune,13.9,58.35,1.78
2000-02-12,Mumbai,15.85,53.3,6.59
2000-02-12,Delhi,19.75,54.55,3.55
2000-02-12,Chennai,22.07,74.05,1.3
2000-02-12,Bangalore,27.88,62.17,6.5
2000-02-12,Hyderabad,11.08,39.43,3.48
2000-02-12,Kolkata,20.64,73.22,8.35
2000-02-12,Jaipur,19.81,56.26,3.11
2000-02-13,Pune,17.3,38.65,0.99
2000-02-13,Mumbai,24.02,63.37,7.49
2000-02-13,Delhi,21.67,53.94,7.59
2000-02-13,Chennai,19.16,84.99,4.45
2000-02-13,Bangalore,22.05,61.61,1.3
2000-02-13,Hyderabad,18.34,64.72,1.37
2000-02-13,Kolkata,25.69,50.79,0.89
2000-02-13,Jaipur,22.32,49.12,3.24
2000-02-14,Pune,24.37,82.61,1.91
2000-02-14,Mumbai,6.58,69.81,1.54
2000-02-14,Delhi,22.75,61.8,2.34
2000-02-14,Chennai,20.0,56.7,3.4
2000-02-14,Bangalore,27.82,47.5,3.24
2000-02-14,Hyderabad,11.23,44.99,2.09
2000-02-14,Kolkata,21.15,57.5,1.32
2000-02-14,Jaipur,20.35,67.8,7.51
2000-02-15,Pune,11.61,66.61,1.48
2000-02-15,Mumbai,22.65,76.38,0.78
2000-02-15,Delhi,19.63,66.03,2.02
2000-02-15,Chennai,19.4,79.59,3.57
2000-02-15,Bangalore,17.31,71.08,2.45
2000-02-15,Hyderabad,21.04,45.13,5.88
2000-02-15,Kolkata,19.05,61.26,3.22
2000-02-15,Jaipur,20.82,54.19,2.07
2000-02-16,Pune,11.65,80.77,1.17
2000-02-16,Mumbai,16.38,72.84,1.95
2000-02-16,Delhi,9.67,15.97,1.46
2000-02-16,Chennai,18.15,63.38,1.67
2000-02-16,Bangalore,18.54,52.39,2.51
2000-02-16,Hyderabad,15.75,80.9,1.31
2000-02-16,Kolkata,14.74,67.71,3.09
2000-02-16,Jaipur,16.07,80.37,2.14
2000-02-17,Pune,16.84,37.87,1.44
2000-02-17,Mumbai,21.27,63.94,3.57
2000-02-17,Delhi,19.84,45.34,4.11
2000-02-17,Chennai,15.06,63.83,5.34
2000-02-17,Bangalore,21.54,70.39,6.14
2000-02-17,Hyderabad,11.74,58.25,0.91
2000-02-17,Kolkata,22.47,80.14,2.96
2000-02-17,Jaipur,22.16,49.69,6.3
2000-02-18,Pune,20.72,59.59,0.4
2000-02-18,Mumbai,23.74,53.79,4.75
2000-02-18,Delhi,17.39,69.6,3.01
2000-02-18,Chennai,14.34,58.0,3.63
2000-02-18,Bangalore,27.02,71.81,3.32
2000-02-18,Hyderabad,22.35,16.12,8.64
2000-02-18,Kolkata,7.58,60.94,1.95
2000-02-18,Jaipur,23.36,50.56,0.33
2000-02-19,Pune,25.27,26.0,1.27
2000-02-19,Mumbai,19.17,39.93,5.11
2000-02-19,Delhi,17.95,59.57,0.46
2000-02-19,Chennai,16.99,40.65,0.91
2000-02-19,Bangalore,16.97,57.89,4.24
2000-02-19,Hyderabad,18.97,85.18,4.1
2000-02-19,Kolkata,25.82,62.12,2.0
2000-02-19,Jaipur,14.4,70.96,0.83
2000-02-20,Pune,14.15,60.51,2.41
2000-02-20,Mumbai,17.48,54.62,4.75
2000-02-20,Delhi,14.72,52.94,7.44
2000-02-20,Chennai,11.86,45.65,0.66
2000-02-20,Bangalore,15.85,50.13,3.6
2000-02-20,Hyderabad,18.24,25.06,1.55
2000-02-20,Kolkata,24.68,78.12,6.59
2000-02-20,Jaipur,20.79,54.6,2.21
2000-02-21,Pune,18.67,51.26,0.62
2000-02-21,Mumbai,16.31,37.24,1.53
2000-02-21,Delhi,14.76,55.75,2.65
2000-02-21,Chennai,22.52,45.78,4.79
2000-02-21,Bangalore,18.59,51.54,2.45
2000-02-21,Hyderabad,19.49,58.56,0.87
2000-02-21,Kolkata,21.44,42.7,8.21
2000-02-21,Jaipur,22.3,64.78,0.73
2000-02-22,Pune,17.82,64.16,1.6
2000-02-22,Mumbai,22.45,34.81,3.9
2000-02-22,Delhi,20.66,56.2,0.64
2000-02-22,Chennai,16.51,20.28,1.61
2000-02-22,Bangalore,11.44,54.83,3.87
2000-02-22,Hyderabad,17.92,42.66,2.07
2000-02-22,Kolkata,16.11,37.81,4.82
2000-02-22,Jaipur,25.02,47.2,8.37
2000-02-23,Pune,21.23,30.32,5.43
2000-02-23,Mumbai,22.72,59.48,7.76
2000-02-23,Delhi,15.69,34.14,5.49
2000-02-23,Chennai,10.67,56.71,2.23
2000-02-23,Bangalore,16.64,57.56,2.45
2000-02-23,Hyderabad,18.71,31.48,7.0
2000-02-23,Kolkata,13.27,64.52,1.84
2000-02-23,Jaipur,19.9,25.48,3.79
2000-02-24,Pune,19.22,53.86,3.17
2000-02-24,Mumbai,18.1,56.0,3.13
2000-02-24,Delhi,22.52,36.24,0.08
2000-02-24,Chennai,17.85,66.22,0.33
2000-02-24,Bangalore,21.83,41.79,1.19
2000-02-24,Hyderabad,17.35,64.51,1.62
2000-02-24,Kolkata,24.01,74.72,4.06
2000-02-24,Jaipur,15.0,66.28,0.7
2000-02-25,Pune,17.23,52.85,2.51
2000-02-25,Mumbai,13.57,52.81,4.22
2000-02-25,Delhi,21.61,77.88,1.29
2000-02-25,Chennai,21.42,71.04,3.6
2000-02-25,Bangalore,15.65,41.68,5.05
2000-02-25,Hyderabad,21.81,49.38,5.35
2000-02-25,Kolkata,23.76,71.89,1.43
2000-02-25,Jaipur,23.28,25.28,5.97
2000-02-26,Pune,32.51,72.35,4.45
2000-02-26,Mumbai,18.45,57.44,5.37
2000-02-26,Delhi,20.7,63.98,1.42
2000-02-26,Chennai,19.84,57.08,1.99
2000-02-26,Bangalore,13.94,94.51,0.17
2000-02-26,Hyderabad,19.92,92.08,0.55
2000-02-26,Kolkata,19.6,45.73,0.83
2000-02-26,Jaipur,15.72,25.2,5.85
2000-02-27,Pune,12.69,47.95,4.04
2000-02-27,Mumbai,13.42,81.65,4.27
2000-02-27,Delhi,17.34,67.51,4.63
2000-02-27,Chennai,20.09,54.68,6.4
2000-02-27,Bangalore,20.43,62.89,2.58
2000-02-27,Hyderabad,27.41,49.38,5.79
2000-02-27,Kolkata,18.15,34.37,1.27
2000-02-27,Jaipur,14.5,51.64,2.47
2000-02-28,Pune,14.76,50.53,7.33
2000-02-28,Mumbai,18.48,44.39,3.09
2000-02-28,Delhi,16.99,59.5,1.25
2000-02-28,Chennai,18.64,73.56,2.28
2000-02-28,Bangalore,15.74,49.31,1.97
2000-02-28,Hyderabad,13.84,35.1,4.25
2000-02-28,Kolkata,16.44,38.31,4.67
2000-02-28,Jaipur,23.45,69.76,2.53
2000-02-29,Pune,18.34,46.2,1.91
2000-02-29,Mumbai,22.61,61.39,4.58
2000-02-29,Delhi,10.23,71.16,2.98
2000-02-29,Chennai,12.19,30.12,2.74
2000-02-29,Bangalore,14.92,62.83,6.23
2000-02-29,Hyderabad,21.14,80.62,1.47
2000-02-29,Kolkata,12.37,44.09,3.95
2000-02-29,Jaipur,14.69,54.02,0.39
2000-03-01,Pune,27.89,58.46,2.92
2000-03-01,Mumbai,36.96,50.12,1.58
2000-03-01,Delhi,33.21,60.0,4.76
2000-03-01,Chennai,25.21,58.23,3.7
2000-03-01,Bangalore,33.34,51.99,3.9
2000-03-01,Hyderabad,27.87,37.63,1.36
2000-03-01,Kolkata,43.26,62.71,2.32
2000-03-01,Jaipur,33.84,68.56,2.68
2000-03-02,Pune,33.89,43.53,2.36
2000-03-02,Mumbai,27.24,56.39,2.15
2000-03-02,Delhi,32.76,74.15,2.02
2000-03-02,Chennai,21.93,59.45,0.22
2000-03-02,Bangalore,32.19,52.27,0.9
2000-03-02,Hyderabad,37.26,59.38,0.11
2000-03-02,Kolkata,35.69,33.77,1.82
2000-03-02,Jaipur,35.06,55.68,2.8
2000-03-03,Pune,29.39,68.93,1.04
2000-03-03,Mumbai,33.73,52.15,1.95
2000-03-03,Delhi,29.57,62.49,4.59
2000-03-03,Chennai,33.05,55.25,1.07
2000-03-03,Bangalore,35.44,61.13,3.72
2000-03-03,Hyderabad,32.12,52.14,3.05
2000-03-03,Kolkata,28.64,56.04,3.96
2000-03-03,Jaipur,20.27,23.3,4.28
2000-03-04,Pune,38.95,60.15,4.03
2000-03-04,Mumbai,28.69,60.81,1.3
2000-03-04,Delhi,32.78,80.91,1.03
2000-03-04,Chennai,31.27,55.59,2.54
2000-03-04,Bangalore,35.16,33.63,0.6
2000-03-04,Hyderabad,34.51,55.83,4.94
2000-03-04,Kolkata,35.95,43.5,2.79
2000-03-04,Jaipur,35.41,49.47,4.08
2000-03-05,Pune,31.51,58.26,4.77
2000-03-05,Mumbai,34.97,55.03,0.17
2000-03-05,Delhi,29.21,58.55,5.2
2000-03-05,Chennai,30.85,43.14,3.68
2000-03-05,Bangalore,27.57,33.68,3.26
2000-03-05,Hyderabad,33.77,89.02,3.48
2000-03-05,Kolkata,33.71,60.99,2.12
2000-03-05,Jaipur,33.82,77.01,1.91
2000-03-06,Pune,23.06,56.51,6.43
2000-03-06,Mumbai,30.96,59.97,4.58
2000-03-06,Delhi,28.42,69.66,6.27
2000-03-06,Chennai,37.94,61.24,0.93
2000-03-06,Bangalore,31.11,55.06,0.37
2000-03-06,Hyderabad,28.16,40.44,1.94
2000-03-06,Kolkata,32.25,37.55,0.57
2000-03-06,Jaipur,36.37,47.7,1.2
2000-03-07,Pune,39.35,50.51,3.04
2000-03-07,Mumbai,36.12,78.98,1.95
2000-03-07,Delhi,33.12,62.84,4.96
2000-03-07,Chennai,37.48,68.37,3.68
2000-03-07,Bangalore,38.67,67.97,0.81
2000-03-07,Hyderabad,29.16,72.86,2.66
2000-03-07,Kolkata,30.89,72.92,3.66
2000-03-07,Jaipur,34.32,42.62,2.1
2000-03-08,Pune,30.4,55.76,6.41
2000-03-08,Mumbai,33.4,61.11,1.47
2000-03-08,Delhi,32.0,41.36,4.68
2000-03-08,Chennai,35.78,67.38,3.25
2000-03-08,Bangalore,20.96,73.42,3.24
2000-03-08,Hyderabad,35.25,29.78,4.91
2000-03-08,Kolkata,32.37,34.48,3.8
2000-03-08,Jaipur,31.76,58.53,5.84
2000-03-09,Pune,25.53,68.28,1.34
2000-03-09,Mumbai,31.87,41.41,0.05
2000-03-09,Delhi,29.92,52.75,3.84
2000-03-09,Chennai,32.81,36.39,2.06
2000-03-09,Bangalore,38.74,64.51,1.81
2000-03-09,Hyderabad,40.13,47.14,0.45
2000-03-09,Kolkata,32.61,59.56,2.41
2000-03-09,Jaipur,37.25,96.46,0.3
2000-03-10,Pune,20.21,41.42,1.92
2000-03-10,Mumbai,38.7,62.23,0.9
2000-03-10,Delhi,32.08,56.83,4.35
2000-03-10,Chennai,28.59,52.37,4.29
2000-03-10,Bangalore,30.83,78.52,1.96
2000-03-10,Hyderabad,22.03,47.61,4.97
2000-03-10,Kolkata,29.34,76.63,4.78
2000-03-10,Jaipur,32.79,75.22,1.77
2000-03-11,Pune,28.38,68.15,2.89
2000-03-11,Mumbai,34.75,29.42,0.58
2000-03-11,Delhi,29.32,87.63,0.98
2000-03-11,Chennai,31.76,38.98,1.8
2000-03-11,Bangalore,29.72,66.45,1.08
