Title,Category,Type,Release Year,Added Year,Duration (Minutes/Episodes),IMDB Rating,Director,Country,Platform
Avengers: Endgame 3,Sci-Fi,TV Show,1978,2005,10,8.5,Quentin Tarantino,Germany,Amazon Prime
The Godfather 8,Comedy,Movie,2020,2020,120,7.9,Ridley Scott,UK,Hulu
Money Heist 10,Drama,TV Show,1978,2008,10,6.8,J.J. Abrams,France,Netflix
Fight Club 6,Drama,Movie,1978,1998,151,7.3,Christopher Nolan,USA,Hulu
Black Mirror 6,Fantasy,TV Show,2014,2025,60,4.4,Martin Scorsese,India,Hulu
The Witcher 4,Thriller,TV Show,2022,2023,60,8,David Fincher,France,Apple TV+
Titanic 6,Horror,Movie,2014,2025,153,5.7,Ridley Scott,Australia,Hulu
Inception 9,Comedy,TV Show,1978,2018,10,7.4,Ridley Scott,UK,Amazon Prime
Fight Club 5,Drama,Movie,1991,2022,141,7.1,Martin Scorsese,Germany,Disney+
Pulp Fiction 7,Sci-Fi,TV Show,2013,2013,100,4.8,Ridley Scott,Spain,Netflix
Sherlock 2,Drama,TV Show,1981,2011,30,4.6,Christopher Nolan,Australia,Disney+
Squid Game 2,Romance,Movie,2009,2019,166,7.6,David Fincher,Australia,HBO Max
Friends 9,Drama,Movie,1979,1988,119,7.1,Martin Scorsese,France,Amazon Prime
The Office 9,Drama,TV Show,1972,1979,50,7.1,Ridley Scott,Germany,HBO Max
The Office 5,Horror,Movie,1988,2008,62,4,Steven Spielberg,Germany,Apple TV+
Interstellar 9,Thriller,Movie,2022,2025,168,9.2,Ridley Scott,Germany,Apple TV+
Breaking Bad 3,Thriller,Movie,2012,2015,153,6.2,Martin Scorsese,India,Disney+
Black Mirror 4,Sci-Fi,TV Show,1994,2019,40,5.9,Christopher Nolan,India,Disney+
The Mandalorian 7,Mystery,TV Show,2008,2020,40,9.2,Denis Villeneuve,France,HBO Max
Avengers: Endgame 1,Sci-Fi,Movie,1995,2014,70,6.6,Martin Scorsese,Spain,HBO Max
Interstellar 3,Horror,Movie,1992,2025,157,7.8,Christopher Nolan,France,Netflix
Money Heist 4,Action,TV Show,2023,2023,40,4.1,Quentin Tarantino,India,HBO Max
Squid Game 3,Sci-Fi,Movie,2012,2023,82,7,Denis Villeneuve,Spain,HBO Max
Breaking Bad 5,Sci-Fi,TV Show,1979,2016,10,6.1,Ridley Scott,USA,Amazon Prime
Interstellar 3,Horror,TV Show,2012,2019,20,5.9,David Fincher,Germany,Amazon Prime
Narcos 4,Drama,TV Show,1997,2014,30,5.4,J.J. Abrams,South Korea,HBO Max
Stranger Things 10,Thriller,TV Show,2003,2004,70,4,J.J. Abrams,South Korea,Disney+
Money Heist 5,Fantasy,TV Show,1992,2013,50,7.7,J.J. Abrams,Spain,Disney+
The Witcher 9,Fantasy,TV Show,1975,1988,40,5.9,Martin Scorsese,Canada,Amazon Prime
Titanic 10,Comedy,Movie,2018,2018,111,7.5,Quentin Tarantino,Australia,Netflix
Narcos 4,Mystery,TV Show,1987,2001,40,6.5,David Fincher,Australia,Amazon Prime
Gladiator 10,Comedy,TV Show,2021,2024,80,8.1,James Cameron,Canada,HBO Max
Gladiator 7,Romance,Movie,2020,2025,109,4.7,David Fincher,Spain,Netflix
Chernobyl 4,Drama,TV Show,2012,2017,20,5.2,Francis Ford Coppola,USA,Disney+
Money Heist 4,Comedy,Movie,1998,2024,157,4.9,Quentin Tarantino,Australia,Disney+
Narcos 6,Comedy,Movie,1972,1983,106,5.5,J.J. Abrams,Australia,HBO Max
The Office 1,Action,TV Show,1974,2021,50,5.3,Christopher Nolan,Japan,Netflix
Westworld 8,Thriller,Movie,1982,1987,175,8.8,Christopher Nolan,Australia,Amazon Prime
The Mandalorian 5,Horror,TV Show,1997,2009,30,7.2,David Fincher,Japan,Hulu
The Dark Knight 5,Sci-Fi,TV Show,1974,1998,70,5.6,Martin Scorsese,UK,Netflix
The Witcher 6,Fantasy,TV Show,1980,2010,50,5.6,Francis Ford Coppola,Germany,Apple TV+
House of Cards 9,Fantasy,Movie,1993,1997,130,4.1,Christopher Nolan,South Korea,Hulu
Chernobyl 7,Drama,Movie,2008,2023,89,9.1,David Fincher,Japan,Netflix
Titanic 2,Romance,TV Show,2021,2022,30,8,Steven Spielberg,South Korea,Amazon Prime
Chernobyl 8,Mystery,TV Show,2022,2024,70,6,Francis Ford Coppola,UK,Disney+
Friends 10,Action,Movie,1984,1984,85,9.3,Christopher Nolan,Japan,HBO Max
Money Heist 6,Horror,Movie,2017,2018,60,6.6,Ridley Scott,UK,Hulu
The Godfather 3,Sci-Fi,TV Show,1988,1996,70,7.9,Francis Ford Coppola,India,HBO Max
The Godfather 3,Thriller,Movie,1980,1991,100,5.7,Denis Villeneuve,South Korea,Hulu
Titanic 5,Action,Movie,2021,2022,157,9.2,Martin Scorsese,Canada,Netflix
Fight Club 10,Crime,TV Show,2010,2018,50,8,Christopher Nolan,UK,Amazon Prime
House of Cards 6,Comedy,Movie,1972,1989,90,8.4,Denis Villeneuve,Spain,Netflix
The Office 6,Mystery,Movie,1995,2020,98,9.3,Francis Ford Coppola,South Korea,Hulu
The Dark Knight 10,Fantasy,TV Show,1988,2005,30,9.1,David Fincher,South Korea,Hulu
Stranger Things 4,Sci-Fi,TV Show,1972,2021,60,5.7,Quentin Tarantino,South Korea,HBO Max
Breaking Bad 9,Horror,TV Show,1989,1990,30,5.9,Christopher Nolan,India,Apple TV+
Fight Club 7,Romance,TV Show,2020,2024,30,6.4,J.J. Abrams,Australia,Netflix
Chernobyl 9,Thriller,Movie,2006,2011,111,5,James Cameron,Spain,Netflix
The Witcher 6,Action,TV Show,1980,2016,90,7.6,Ridley Scott,South Korea,Amazon Prime
House of Cards 9,Romance,TV Show,1990,2007,20,4.1,Ridley Scott,India,Netflix
The Witcher 9,Romance,Movie,1977,1983,118,5.4,Steven Spielberg,Canada,Apple TV+
Westworld 2,Thriller,TV Show,2012,2012,20,5.8,Christopher Nolan,Australia,Amazon Prime
Inception 5,Horror,Movie,2015,2017,125,7.6,Steven Spielberg,France,Disney+
Narcos 8,Drama,TV Show,2016,2019,50,6.1,J.J. Abrams,Spain,Hulu
Interstellar 5,Crime,Movie,2004,2017,163,6.2,Quentin Tarantino,Japan,Disney+
Stranger Things 3,Mystery,Movie,1981,2008,80,7,James Cameron,India,HBO Max
Avengers: Endgame 7,Thriller,Movie,2020,2022,99,8.9,Christopher Nolan,Australia,HBO Max
Chernobyl 1,Comedy,TV Show,2016,2019,20,7.5,Steven Spielberg,USA,Amazon Prime
Squid Game 6,Horror,Movie,2020,2024,130,5.3,David Fincher,South Korea,Disney+
Interstellar 1,Drama,TV Show,2013,2013,60,8.4,James Cameron,Germany,Netflix
Westworld 5,Action,Movie,1981,1991,121,6.4,James Cameron,Canada,Amazon Prime
Gladiator 6,Romance,TV Show,1973,1989,60,7.8,Denis Villeneuve,Germany,Apple TV+
Friends 1,Comedy,Movie,1977,2000,168,4.3,Christopher Nolan,France,Apple TV+
Fight Club 4,Fantasy,TV Show,1973,2016,90,5.1,Ridley Scott,South Korea,Hulu
Titanic 1,Mystery,Movie,1992,2009,150,9.3,J.J. Abrams,South Korea,Apple TV+
The Boys 3,Crime,Movie,1983,2000,162,9.1,Ridley Scott,Spain,Apple TV+
Sherlock 1,Fantasy,TV Show,1990,2009,80,6.8,Martin Scorsese,Canada,Netflix
Narcos 8,Drama,Movie,2009,2009,109,8.6,Ridley Scott,UK,HBO Max
The Crown 2,Drama,TV Show,1979,2021,80,5.4,Ridley Scott,Germany,Hulu
The Witcher 9,Fantasy,TV Show,2014,2015,100,7.3,James Cameron,Canada,Hulu
Titanic 2,Drama,TV Show,1983,2021,20,5.7,Martin Scorsese,Germany,Hulu
Westworld 8,Romance,TV Show,1974,2007,40,5.4,Christopher Nolan,France,Disney+
Pulp Fiction 7,Fantasy,Movie,1982,1982,144,9.2,Denis Villeneuve,Germany,Disney+
Pulp Fiction 3,Crime,TV Show,1989,2020,10,6.7,Martin Scorsese,Canada,Disney+
Titanic 2,Thriller,TV Show,2011,2014,80,7.4,Steven Spielberg,UK,Amazon Prime
The Dark Knight 6,Thriller,TV Show,1972,1990,60,4.4,James Cameron,Canada,HBO Max
The Witcher 7,Sci-Fi,Movie,2015,2018,93,7.2,Quentin Tarantino,South Korea,Apple TV+
The Witcher 5,Crime,Movie,2024,2025,110,7,Martin Scorsese,USA,Netflix
Pulp Fiction 9,Romance,Movie,1981,2004,71,7.9,J.J. Abrams,South Korea,Disney+
Friends 4,Action,Movie,2005,2018,169,7.7,J.J. Abrams,Spain,Disney+
Friends 3,Romance,Movie,1991,2008,144,4.1,David Fincher,France,Apple TV+
House of Cards 2,Drama,Movie,2005,2010,170,7.7,J.J. Abrams,Germany,Netflix
Avengers: Endgame 2,Action,Movie,2000,2024,150,5.5,Martin Scorsese,India,Hulu
Breaking Bad 9,Horror,Movie,1984,2019,135,7.9,Francis Ford Coppola,Spain,Hulu
Titanic 10,Action,TV Show,1979,2022,40,6.2,J.J. Abrams,Spain,Hulu
Breaking Bad 2,Comedy,Movie,1992,2009,125,7.5,Ridley Scott,UK,Disney+
Friends 7,Sci-Fi,TV Show,1996,2016,30,8.5,Martin Scorsese,UK,Amazon Prime
Gladiator 3,Drama,Movie,1975,2009,69,8,James Cameron,South Korea,HBO Max
Squid Game 9,Fantasy,TV Show,2000,2005,60,8.3,James Cameron,Japan,Netflix
Titanic 3,Comedy,Movie,1999,2018,156,5.9,Christopher Nolan,USA,Hulu
Squid Game 8,Romance,Movie,2009,2012,174,7.8,Christopher Nolan,France,Hulu
Friends 1,Romance,Movie,2002,2006,163,6.8,Steven Spielberg,Australia,Hulu
Narcos 4,Action,TV Show,2017,2020,50,8.1,Denis Villeneuve,South Korea,Amazon Prime
Game of Thrones 2,Thriller,Movie,2023,2025,173,4.5,Martin Scorsese,Germany,Hulu
Avengers: Endgame 6,Horror,TV Show,1986,2001,30,4.5,Steven Spielberg,UK,Disney+
Sherlock 5,Comedy,Movie,1971,2004,97,7.3,Francis Ford Coppola,France,Amazon Prime
The Mandalorian 4,Romance,TV Show,2009,2012,30,7.4,Christopher Nolan,Germany,Apple TV+
The Boys 9,Mystery,TV Show,1982,2025,100,8.9,David Fincher,Australia,Amazon Prime
Friends 4,Mystery,TV Show,1983,1993,70,7.4,Steven Spielberg,USA,Apple TV+
Titanic 6,Romance,TV Show,1994,1995,30,5.5,J.J. Abrams,Japan,Apple TV+
Gladiator 3,Drama,TV Show,1999,1999,100,8.5,Ridley Scott,India,Hulu
Chernobyl 10,Sci-Fi,TV Show,1989,2003,80,4.4,Steven Spielberg,UK,HBO Max
The Godfather 7,Thriller,Movie,2024,2025,167,5.8,James Cameron,USA,HBO Max
The Crown 3,Thriller,Movie,2004,2023,75,8.9,Francis Ford Coppola,Canada,Netflix
Pulp Fiction 2,Comedy,TV Show,2007,2020,80,8.4,Ridley Scott,Spain,Disney+
The Godfather 6,Drama,Movie,1998,2022,128,5.8,Martin Scorsese,USA,Disney+
The Crown 3,Drama,TV Show,2009,2024,80,5.4,Denis Villeneuve,South Korea,HBO Max
Game of Thrones 4,Horror,TV Show,1977,1992,100,8.1,J.J. Abrams,Australia,Disney+
Stranger Things 6,Romance,Movie,2002,2011,109,8.1,Steven Spielberg,France,HBO Max
House of Cards 3,Crime,TV Show,2016,2023,100,4.5,J.J. Abrams,Spain,Hulu
Westworld 8,Horror,TV Show,1971,1989,100,4.9,Denis Villeneuve,Spain,HBO Max
Interstellar 4,Sci-Fi,TV Show,1987,1990,40,6.2,J.J. Abrams,Australia,Hulu
Game of Thrones 10,Romance,Movie,2004,2022,132,7.5,Steven Spielberg,Spain,Disney+
Fight Club 9,Sci-Fi,Movie,1978,2009,72,7.7,Francis Ford Coppola,India,Netflix
Avengers: Endgame 7,Romance,TV Show,2024,2025,60,8.4,Martin Scorsese,Japan,Disney+
The Godfather 10,Drama,Movie,2005,2012,87,5.6,Ridley Scott,USA,Netflix
Money Heist 7,Action,TV Show,2022,2025,10,6.3,Ridley Scott,Japan,Amazon Prime
Money Heist 9,Thriller,Movie,1999,2002,124,6.3,Steven Spielberg,UK,Apple TV+
Sherlock 9,Romance,TV Show,1994,2021,10,5.9,Martin Scorsese,Japan,Hulu
The Mandalorian 6,Action,Movie,1982,2015,98,4.3,Quentin Tarantino,Canada,HBO Max
Titanic 6,Comedy,Movie,2018,2021,76,7.3,Francis Ford Coppola,South Korea,Disney+
Avengers: Endgame 4,Fantasy,TV Show,2009,2016,30,4.3,Ridley Scott,Spain,HBO Max
Breaking Bad 3,Action,TV Show,2002,2008,20,9.2,Steven Spielberg,Canada,Disney+
Friends 4,Comedy,TV Show,2009,2020,40,8.3,J.J. Abrams,Germany,HBO Max
Chernobyl 7,Thriller,Movie,2018,2021,80,8.7,Quentin Tarantino,Australia,Disney+
Money Heist 2,Crime,TV Show,1972,2004,100,5.2,Ridley Scott,South Korea,Amazon Prime
Game of Thrones 5,Action,Movie,2017,2019,91,4,Christopher Nolan,UK,Amazon Prime
Narcos 7,Romance,Movie,2001,2025,124,6.6,Martin Scorsese,South Korea,Disney+
Pulp Fiction 8,Horror,Movie,1974,1974,137,7.6,J.J. Abrams,South Korea,Disney+
Money Heist 9,Drama,TV Show,1971,2002,70,9.4,James Cameron,South Korea,Amazon Prime
The Mandalorian 7,Horror,Movie,2023,2024,129,8.8,David Fincher,USA,Netflix
Narcos 1,Mystery,Movie,2005,2011,163,4.3,Quentin Tarantino,Spain,Netflix
Money Heist 5,Sci-Fi,TV Show,1984,2001,30,4.9,Quentin Tarantino,Australia,Apple TV+
The Crown 6,Thriller,TV Show,1989,2023,40,7.9,Christopher Nolan,Spain,Netflix
The Office 6,Horror,TV Show,1985,2015,80,7.1,Christopher Nolan,Japan,Disney+
The Godfather 6,Horror,TV Show,1972,1992,40,6.9,James Cameron,Australia,HBO Max
Squid Game 1,Drama,Movie,1993,2006,92,7.6,Ridley Scott,Australia,Netflix
Chernobyl 1,Horror,Movie,2000,2008,167,9.1,J.J. Abrams,Japan,Disney+
The Boys 2,Fantasy,TV Show,2006,2015,50,6.8,James Cameron,South Korea,Apple TV+
Game of Thrones 2,Thriller,Movie,1991,2019,129,4.4,J.J. Abrams,USA,Disney+
The Witcher 9,Drama,TV Show,1997,2015,60,4.8,J.J. Abrams,Australia,Disney+
The Mandalorian 1,Comedy,Movie,2018,2019,157,4.4,James Cameron,Spain,Amazon Prime
Squid Game 10,Drama,TV Show,2019,2025,60,4.8,Francis Ford Coppola,Germany,Netflix
Stranger Things 2,Action,TV Show,2019,2023,30,4,David Fincher,Canada,Apple TV+
Fight Club 4,Thriller,Movie,2008,2017,122,4.2,Martin Scorsese,Germany,Apple TV+
Black Mirror 1,Sci-Fi,TV Show,2019,2019,30,4.5,Denis Villeneuve,France,Disney+
Money Heist 8,Horror,Movie,2016,2022,175,8.2,Denis Villeneuve,Australia,Netflix
Interstellar 6,Horror,TV Show,1970,2003,20,8.1,Steven Spielberg,USA,Netflix
Money Heist 2,Drama,TV Show,1984,2001,90,6,David Fincher,UK,Amazon Prime
The Mandalorian 7,Horror,Movie,1977,1992,165,9.3,James Cameron,France,Netflix
Sherlock 5,Drama,TV Show,1992,2006,100,9.2,Steven Spielberg,India,Apple TV+
The Dark Knight 1,Fantasy,TV Show,2006,2021,90,8.4,Quentin Tarantino,Germany,Hulu
The Crown 5,Action,TV Show,1980,2022,70,4.8,Denis Villeneuve,Germany,Disney+
Fight Club 9,Fantasy,Movie,2004,2008,79,9.4,J.J. Abrams,Spain,Apple TV+
Fight Club 1,Horror,TV Show,2007,2018,60,7.8,Denis Villeneuve,Japan,Netflix
Game of Thrones 2,Thriller,Movie,1973,2014,108,6.9,James Cameron,Germany,Netflix
The Crown 10,Mystery,TV Show,1993,2001,60,5,Francis Ford Coppola,India,HBO Max
The Crown 5,Drama,TV Show,1990,2017,20,8.2,Christopher Nolan,Germany,HBO Max
Stranger Things 6,Drama,Movie,2012,2021,118,6.2,Quentin Tarantino,USA,Netflix
The Dark Knight 10,Drama,TV Show,1973,2020,100,8.5,David Fincher,India,Apple TV+
The Crown 5,Romance,Movie,2015,2020,149,5.7,Martin Scorsese,UK,Disney+
Inception 8,Sci-Fi,TV Show,1989,2024,20,5.2,David Fincher,South Korea,Hulu
Squid Game 6,Fantasy,TV Show,2018,2022,90,6.4,Quentin Tarantino,Germany,Amazon Prime
Game of Thrones 3,Romance,TV Show,2006,2015,50,7.5,Christopher Nolan,South Korea,Apple TV+
Breaking Bad 10,Crime,Movie,2014,2014,159,4.7,Christopher Nolan,Australia,Hulu
The Godfather 2,Comedy,TV Show,1974,2014,100,5.2,Denis Villeneuve,UK,Hulu
The Godfather 1,Romance,TV Show,1991,2025,60,8.4,David Fincher,Spain,Hulu
Game of Thrones 5,Mystery,TV Show,2004,2019,30,6.3,Martin Scorsese,UK,Apple TV+
Chernobyl 8,Horror,TV Show,1991,2021,20,5.5,Ridley Scott,Canada,Apple TV+
Friends 8,Sci-Fi,Movie,1994,2014,177,6.6,Denis Villeneuve,Japan,Amazon Prime
Breaking Bad 7,Fantasy,TV Show,1977,1992,70,8.4,David Fincher,Japan,HBO Max
House of Cards 1,Drama,TV Show,2013,2015,80,8.1,David Fincher,France,Hulu
Money Heist 1,Romance,Movie,2023,2024,70,6.8,Ridley Scott,Spain,Netflix
Interstellar 7,Mystery,TV Show,1970,1977,80,8.5,Martin Scorsese,USA,Hulu
The Mandalorian 5,Fantasy,TV Show,1976,1988,50,8.4,David Fincher,France,Hulu
Fight Club 1,Comedy,TV Show,1992,2006,10,7.6,James Cameron,Australia,Apple TV+
Sherlock 2,Thriller,TV Show,2018,2025,40,5.7,David Fincher,USA,Amazon Prime
The Witcher 10,Sci-Fi,TV Show,2012,2021,70,7.1,David Fincher,India,Apple TV+
The Godfather 5,Romance,TV Show,1975,2020,70,6.1,James Cameron,India,Disney+
Money Heist 2,Fantasy,TV Show,1979,1993,80,8.1,James Cameron,UK,Disney+
Stranger Things 7,Comedy,Movie,2013,2025,143,4,J.J. Abrams,India,Netflix
The Crown 9,Drama,Movie,2005,2023,163,7.6,James Cameron,France,Netflix
Stranger Things 3,Thriller,Movie,2011,2018,120,4.8,Quentin Tarantino,USA,Amazon Prime
Money Heist 1,Romance,Movie,1987,2006,106,5.2,Francis Ford Coppola,Japan,Hulu
Westworld 5,Sci-Fi,Movie,1973,2001,89,4.5,Quentin Tarantino,France,Netflix
House of Cards 3,Comedy,TV Show,1975,1975,100,5.4,Steven Spielberg,USA,Apple TV+
Westworld 7,Action,Movie,1981,2013,142,5.1,James Cameron,USA,HBO Max
The Witcher 6,Mystery,Movie,2022,2022,86,7,Christopher Nolan,USA,HBO Max
Sherlock 5,Crime,TV Show,2014,2015,80,5.4,Denis Villeneuve,Australia,Amazon Prime
Pulp Fiction 6,Romance,TV Show,2008,2023,90,8.9,Quentin Tarantino,Spain,Apple TV+
Sherlock 1,Drama,TV Show,2011,2012,90,8.1,Denis Villeneuve,Canada,Netflix
Sherlock 2,Fantasy,Movie,1986,2022,86,5.8,Denis Villeneuve,Germany,Apple TV+
Chernobyl 5,Thriller,Movie,2011,2012,89,6.4,J.J. Abrams,South Korea,HBO Max
Gladiator 3,Comedy,TV Show,1994,2018,80,5.7,Christopher Nolan,India,Disney+
Squid Game 2,Action,TV Show,1995,2025,100,6.6,Steven Spielberg,India,Netflix
Friends 5,Sci-Fi,Movie,1995,1997,138,4.4,Quentin Tarantino,South Korea,Netflix
Game of Thrones 9,Sci-Fi,Movie,1995,1995,61,9.1,David Fincher,India,Netflix
Gladiator 3,Sci-Fi,TV Show,1996,2025,70,4.1,Denis Villeneuve,Australia,Hulu
The Crown 1,Action,Movie,2006,2015,145,7.9,J.J. Abrams,France,Disney+
Gladiator 9,Mystery,TV Show,1986,2025,80,5.8,David Fincher,Japan,Amazon Prime
The Mandalorian 3,Horror,Movie,1992,2024,174,8.7,Ridley Scott,Spain,Amazon Prime
Inception 9,Thriller,TV Show,1996,2011,100,6.1,Francis Ford Coppola,Spain,Netflix
Interstellar 9,Comedy,TV Show,2019,2019,50,8.1,James Cameron,Australia,Amazon Prime
Fight Club 9,Comedy,Movie,1973,2021,144,6.6,Denis Villeneuve,Australia,Netflix
Black Mirror 10,Mystery,TV Show,2000,2014,90,6.1,Ridley Scott,India,HBO Max
Chernobyl 10,Action,Movie,1972,2017,118,6,Francis Ford Coppola,India,HBO Max
Sherlock 5,Romance,TV Show,1997,2010,30,4.3,Ridley Scott,Germany,HBO Max
House of Cards 6,Action,Movie,2020,2024,142,5.5,J.J. Abrams,France,HBO Max
Game of Thrones 1,Fantasy,TV Show,1988,2000,100,4.4,Martin Scorsese,UK,HBO Max
Game of Thrones 3,Fantasy,TV Show,1971,1994,20,6.1,David Fincher,India,Hulu
The Witcher 4,Crime,TV Show,2011,2021,90,8.8,Christopher Nolan,UK,Hulu
Inception 3,Mystery,Movie,1988,2015,148,4.1,Denis Villeneuve,Australia,HBO Max
The Godfather 5,Horror,TV Show,2000,2001,70,5.4,Steven Spielberg,Japan,Apple TV+
The Boys 4,Thriller,TV Show,1982,1997,40,9.2,J.J. Abrams,UK,Amazon Prime
Titanic 5,Horror,TV Show,1990,2013,90,4.9,Christopher Nolan,South Korea,Apple TV+
The Witcher 7,Romance,Movie,1975,2020,105,4.5,James Cameron,France,Netflix
The Office 5,Mystery,TV Show,1993,2002,70,7.1,Steven Spielberg,Japan,Apple TV+
Stranger Things 6,Romance,TV Show,1983,2016,80,7.9,Quentin Tarantino,Spain,Netflix
The Godfather 10,Mystery,TV Show,1989,2024,80,4.9,Denis Villeneuve,France,Amazon Prime
The Mandalorian 1,Action,Movie,1997,2024,117,4.1,Denis Villeneuve,Spain,Disney+
Pulp Fiction 7,Comedy,Movie,1974,2020,143,7.3,Quentin Tarantino,France,HBO Max
Friends 7,Mystery,TV Show,1982,2012,60,6.6,Quentin Tarantino,Japan,Apple TV+
Avengers: Endgame 6,Action,Movie,1998,2017,153,5.8,David Fincher,South Korea,Netflix
Gladiator 3,Crime,TV Show,1989,1990,90,9.1,Steven Spielberg,USA,Netflix
The Witcher 8,Horror,Movie,2012,2020,146,7.7,Steven Spielberg,Australia,HBO Max
The Godfather 6,Mystery,TV Show,2005,2010,10,6.4,David Fincher,Australia,Disney+
Sherlock 3,Sci-Fi,Movie,1986,2018,124,6.9,Steven Spielberg,Australia,Hulu
Inception 1,Action,TV Show,2011,2015,40,6,Martin Scorsese,India,Apple TV+
Westworld 6,Crime,Movie,2021,2022,121,5.1,David Fincher,Australia,Netflix
Gladiator 9,Romance,TV Show,2002,2009,30,5.4,James Cameron,India,Apple TV+
Westworld 2,Fantasy,TV Show,2024,2025,90,6.4,Denis Villeneuve,Germany,Apple TV+
House of Cards 9,Drama,TV Show,2018,2020,90,5.8,Ridley Scott,UK,Netflix
Money Heist 4,Action,Movie,1981,2024,134,8.6,David Fincher,South Korea,Amazon Prime
Chernobyl 10,Fantasy,Movie,2017,2024,75,6.3,Quentin Tarantino,South Korea,Apple TV+
Interstellar 1,Fantasy,TV Show,2007,2011,10,7.2,Steven Spielberg,UK,Amazon Prime
Gladiator 8,Romance,Movie,2019,2022,167,4.6,Christopher Nolan,India,Apple TV+
Fight Club 1,Crime,TV Show,1985,1985,80,5.7,David Fincher,Japan,Hulu
The Witcher 6,Thriller,Movie,1994,1999,156,8.1,Steven Spielberg,Germany,Netflix
Narcos 5,Horror,TV Show,2009,2015,90,6.8,Steven Spielberg,Spain,Disney+
The Crown 3,Fantasy,TV Show,1974,1982,10,7.5,Christopher Nolan,Spain,Disney+
Interstellar 4,Romance,TV Show,1987,1989,40,4.7,Ridley Scott,South Korea,Hulu
Black Mirror 5,Crime,TV Show,1984,2017,60,8.8,Quentin Tarantino,Japan,Netflix
Friends 8,Horror,Movie,1976,2015,95,7.3,David Fincher,Spain,Hulu
Chernobyl 5,Sci-Fi,TV Show,2004,2004,80,4.1,Ridley Scott,South Korea,Hulu
The Office 5,Fantasy,TV Show,1984,2014,70,4.4,Denis Villeneuve,USA,Amazon Prime
Money Heist 4,Thriller,Movie,2000,2013,127,4.4,Denis Villeneuve,Spain,Apple TV+
The Crown 6,Mystery,TV Show,2006,2019,90,6,Denis Villeneuve,Australia,Disney+
